"Urb" "GDP" "HIC"
"1" 0.846 24.7701874561637 0.982575893659062
"2" 0.6516 11.4760924264071 0.0634427684117125
"3" 0.758 20.8737804134503 0.0851528384279476
"4" 0.792 56.4739036526107 0.090170380078637
"5" 0.7122 11.024456814011 0.150142146410803
"6" 1 45.879594662686 0.483360188677547
"7" 0.5529 23.0025944502313 0.0590542099192618
"8" 0.9072 36.4270185707675 0.356168402523104
"9" 0.6683 20.2111121011282 0.0383912248628885
"10" 0.9283 12.479278097052 0.0836944127708096
"11" 0.964 48.0583960806928 0.325045069560189
"12" 0.8387 160.488204435728 0.450026723677178
"13" 0.8582 23.1982313383227 0.219244170463683
"14" 0.7951 41.2278880910986 0.102738123098526
"15" 0.9533 30.9829931578145 0.299932947783086
"16" 0.941 27.4104560921651 0.204139368671828
"17" 0.9064 48.5548921634197 0.0792829282928293
"18" 0.6752 23.2952505874348 0.140990990990991
"19" 0.9415 22.1149150662197 0.365085928414524
"20" 0.9751 24.8286191612164 0.429017702186741
"21" 0.7285 38.176788021765 0.189377965208224
"22" 0.6973 27.1730499594295 0.0503342508847818
"23" 0.9742 35.0734085404527 0.569819763203539
"24" 0.6937 23.094607421646 0.219195849546044
"25" 0.812 19.0114451100092 0.162442719536145
"26" 0.7911 17.1186650033419 0.15177304964539
"27" 0.6893 12.7855054689775 0.0715405723245786
"28" 0.6864 15.7537606899085 0.0623441396508728
"29" 0.8322 21.5061999514921 0.14819306330342
"30" 0.9689 15.5713180577967 0.381431244153414
"31" 1 43.9844320503675 0.541263801869517
"32" 0.6949 19.4447595555306 0.163626312880044
"33" 0.7829 49.6346949936447 0.0402570154733805
"34" 0.8158 101.620500848816 0.377251418702196
"35" 0.7652 42.7562654663324 0.138211382113821
"36" 1 14.0002968472366 0.390969306030564
"37" 0.9695 26.816699493931 0.255359006610111
"38" 0.9347 23.395436457982 0.189052795031056
"39" 0.7406 24.2274888587835 0.0466370558375634
"40" 0.9648 33.1271125315319 0.301051508686376
"41" 0.8684 74.1267022963082 0.479435564769611
"42" 0.9601 41.2622685523941 0.343261464521728
"43" 0.914 22.4918938084955 0.256708096178418
"44" 0.9531 23.2951751916864 0.235984775175795
"45" 0.9339 36.0382931708824 0.25260491623971
"46" 0.9183 24.4016831960142 0.160621761658031
"47" 0.8955 27.6204784890618 0.21872401093026
"48" 0.4788 199.755290375903 0.560478594129744
"49" 0.8053 69.1776499719634 0.099944136915342
"50" 0.801 14.0284496197098 0.0270684371807967
"51" 0.9393 36.8461435364297 0.300210423093424
"52" 0.8098 24.6583454029053 0.124856815578465
"53" 0.8227 15.7354093647345 0.0649895178197065
"54" 0.7368 14.3240763494025 0.0567820958717677
"55" 0.7183 34.8911770164365 0.129401170643854
"56" 0.947 12.972743270691 0.131380178530556
"57" 0.9354 20.2673724086255 0.179763349514563
"58" 0.7847 22.6914814338059 0.142271024517868
"59" 0.7874 29.9045172927622 0.12374686716792
"60" 0.9882 65.3821676781321 0.520068317677199
"61" 0.7938 27.9557935407412 0.106219426974144
"62" 0.5943 13.7027550655332 0.0712303422756707
"63" 0.9469 29.4671163976745 0.130689390573886
"64" 0.8737 18.7933402888781 0.16073732718894
"65" 0.9471 164.505893079406 0.262548262548263
"66" 0.9796 30.9221035513621 0.352483021049082
"67" 0.664 43.9090815393614 0.0514511873350923
"68" 0.9385 61.6527320599475 0.347058363934682
"69" 0.9752 33.0446597410213 0.390828508361359
"70" 1 78.7977101795002 0.464673180592992
"71" 0.9011 13.9271931295345 0.239597137556321
"72" 0.897 21.0886432173978 0.186293890614704
"73" 0.9002 18.6346925549788 0.0636580443955237
"74" 0.2492 16.1271505945578 0.0752595155709343
"75" 0.8964 35.5050190420591 0.0989618982432124
"76" 0.7979 14.6099167109456 0.104763767974176
"77" 0.7909 24.325804914769 0.0350212967345007
"78" 0.8902 22.73276814566 0.24578313253012
"79" 0.9163 35.6120659257157 0.369358313951
"80" 0.7243 69.0391932195003 0.340207097973272
